Ê±¼ä,Inbound,Outbound
2021/6/2 6:00,8978330947,30819740190
2021/6/2 6:05,9219196049,31282731748
2021/6/2 6:10,9139419892,32197306843
2021/6/2 6:15,9822775567,34392486104
2021/6/2 6:20,10022941734,37573897740
2021/6/2 6:25,9753661376,40005383690
2021/6/2 6:30,9412731319,40339823824
2021/6/2 6:35,9544809642,42048872857
2021/6/2 6:40,9415699320,41677265753
2021/6/2 6:45,9643909549,43765323575
2021/6/2 6:50,9695482844,44272360669
2021/6/2 6:55,9815933450,45345756787
2021/6/2 7:00,10124570367,45992481370
2021/6/2 7:05,10055732939,49034589525
2021/6/2 7:10,11053587673,52287662034
2021/6/2 7:15,11719017268,51600490176
2021/6/2 7:20,11811109468,52137187126
2021/6/2 7:25,11872983658,54072055178
2021/6/2 7:30,11837114317,54532277669
2021/6/2 7:35,9453477482,51164926481
2021/6/2 7:40,8731472438,50450114311
2021/6/2 7:45,8808424323,50486692279
2021/6/2 7:50,9032222798,51406025879
2021/6/2 7:55,9348348229,52915802626
2021/6/2 8:00,9918464081,55453002214
2021/6/2 8:05,10280316516,57327535595
2021/6/2 8:10,10367064146,57685252296
2021/6/2 8:15,10614603200,58473948632
2021/6/2 8:20,10498879171,58618600209
2021/6/2 8:25,10392145948,58660407583
2021/6/2 8:30,10550068143,60131548196
2021/6/2 8:35,10947625422,61558383709
2021/6/2 8:40,11301347198,64003620190
2021/6/2 8:45,11399555756,68929681090
2021/6/2 8:50,11848149648,72837892025
2021/6/2 8:55,11570291367,69487442849
2021/6/2 9:00,11733154448,70524311446
2021/6/2 9:05,12068282985,71510243324
2021/6/2 9:10,12453593563,73648960787
2021/6/2 9:15,12860732559,74315664226
2021/6/2 9:20,12878228823,73935650408
2021/6/2 9:25,12867226943,74754635652
2021/6/2 9:30,12979418780,74449549065
2021/6/2 9:35,13699312447,78971612098
2021/6/2 9:40,13199207967,75913200906
2021/6/2 9:45,13034082289,75275882356
2021/6/2 9:50,13329101154,76785729031
2021/6/2 9:55,13437010511,77148870155
2021/6/2 10:00,13737627947,76383561852
2021/6/2 10:05,13394752834,75835167191
2021/6/2 10:10,13722084669,77870291893
2021/6/2 10:15,13706925568,77024859100
2021/6/2 10:20,14041411743,76558904293
2021/6/2 10:25,14458011998,76643651611
2021/6/2 10:30,14574709259,77524434909
2021/6/2 10:35,14357989771,77354863755
2021/6/2 10:40,14692339710,79130845576
2021/6/2 10:45,14162056297,77314502809
2021/6/2 10:50,14417381614,78504271068
2021/6/2 10:55,14360809465,78797209524
2021/6/2 11:00,14399820714,77986606043
2021/6/2 11:05,14441807735,79783761050
2021/6/2 11:10,14989620913,79740847903
2021/6/2 11:15,14601541183,78467741642
2021/6/2 11:20,14894827604,79302174092
2021/6/2 11:25,15448264275,78690632939
2021/6/2 11:30,15418843668,78517627166
